Date,Hours,Visitors,Visitors/Hr,Notes
1/8/2013,6,145,24.16666667,
1/9/2013,6,90,15,
1/10/2013,5,51,10.2,
1/11/2013,6,243,40.5,
1/12/2013,5,229,45.8,
1/13/2013,3,130,43.33333333,
1/14/2013,3,46,15.33333333,
1/15/2013,6,122,20.33333333,
1/16/2013,4,129,32.25,
1/17/2013,6,229,38.16666667,
1/18/2013,6,157,26.16666667,
1/19/2013,5,332,66.4,
1/20/2013,3,177,59,
1/21/2013,3,201,67,
1/22/2013,6,287,47.83333333,
1/23/2013,6,107,17.83333333,
1/24/2013,6,156,26,
1/25/2013,3,15,5,
1/26/2013,5,216,43.2,
1/27/2013,3,203,67.66666667,
1/28/2013,3,40,13.33333333,
1/29/2013,5,88,17.6,
1/30/2013,6,104,17.33333333,
1/31/2013,6,94,15.66666667,
2/1/2013,6,252,42,
2/2/2013,5,294,58.8,
2/3/2013,3,119,39.66666667,
2/4/2013,3,39,13,
2/5/2013,6,83,13.83333333,
2/6/2013,6,78,13,
2/7/2013,5,139,27.8,
2/8/2013,6,150,25,
2/9/2013,5,288,57.6,
2/10/2013,3,162,54,
2/11/2013,3,20,6.666666667,
2/12/2013,5,117,23.4,
2/13/2013,6,87,14.5,
2/14/2013,6,208,34.66666667,
2/15/2013,6,161,26.83333333,
2/16/2013,5,349,69.8,
2/17/2013,3,184,61.33333333,
2/18/2013,3,218,72.66666667,
2/19/2013,6,288,48,
2/20/2013,6,147,24.5,
2/21/2013,6,253,42.16666667,
2/22/2013,6,247,41.16666667,
2/23/2013,5,312,62.4,
2/24/2013,3,171,57,
2/25/2013,3,61,20.33333333,
2/26/2013,6,218,36.33333333,
2/27/2013,6,171,28.5,
2/28/2013,6,214,35.66666667,
3/1/2013,6,248,41.33333333,
3/2/2013,5,330,66,
3/3/2013,3,159,53,
3/4/2013,3,52,17.33333333,
3/5/2013,6,146,24.33333333,
3/6/2013,6,147,24.5,
3/7/2013,6,366,61,
3/8/2013,6,277,46.16666667,
3/9/2013,5,334,66.8,
3/10/2013,3,137,45.66666667,
3/11/2013,3,111,37,
3/12/2013,6,309,51.5,
3/13/2013,6,252,42,
3/14/2013,6,290,48.33333333,
3/15/2013,6,267,44.5,
3/16/2013,5,315,63,
3/17/2013,3,187,62.33333333,
3/18/2013,3,68,22.66666667,
3/19/2013,6,175,29.16666667,
3/20/2013,6,200,33.33333333,
3/21/2013,6,192,32,
3/22/2013,6,344,57.33333333,
3/23/2013,5,224,44.8,
3/24/2013,3,162,54,
3/25/2013,3,157,52.33333333,
3/26/2013,6,253,42.16666667,
3/27/2013,6,329,54.83333333,
3/28/2013,6,400,66.66666667,
3/29/2013,6,324,54,
3/30/2013,5,338,67.6,
3/31/2013,3,132,44,
4/1/2013,3,196,65.33333333,
4/2/2013,6,376,62.66666667,
4/3/2013,6,398,66.33333333,
4/4/2013,6,378,63,
4/5/2013,6,382,63.66666667,
4/6/2013,5,312,62.4,
4/7/2013,3,133,44.33333333,
4/8/2013,2,25,12.5,
4/9/2013,6,291,48.5,
4/10/2013,6,111,18.5,
4/11/2013,6,223,37.16666667,
4/12/2013,6,289,48.16666667,
4/13/2013,5,174,34.8,
4/14/2013,3,124,41.33333333,
4/15/2013,3,110,36.66666667,
4/16/2013,6,247,41.16666667,
4/17/2013,6,125,20.83333333,
4/18/2013,6,335,55.83333333,
4/19/2013,3,166,55.33333333,
4/20/2013,5,229,45.8,
4/21/2013,3,131,43.66666667,
4/22/2013,3,65,21.66666667,
4/23/2013,6,230,38.33333333,
4/24/2013,5,164,32.8,
4/25/2013,6,167,27.83333333,
4/26/2013,5,249,49.8,
4/27/2013,5,240,48,
4/28/2013,3,152,50.66666667,
4/29/2013,3,47,15.66666667,
4/30/2013,6,322,53.66666667,
5/1/2013,6,270,45,
