Date,Hours,Visitors,Visitors/Hr,Notes
7/7/2013,3,48,16,
7/8/2013,6,163,27.16666667,
7/9/2013,6,157,26.16666667,
7/10/2013,6,160,26.66666667,
7/11/2013,3,43,14.33333333,
7/12/2013,6,160,26.66666667,
7/13/2013,6,195,32.5,
7/14/2013,3,90,30,
7/15/2013,6,101,16.83333333,
7/16/2013,6,113,18.83333333,
7/17/2013,6,80,13.33333333,
7/18/2013,3,66,22,
7/19/2013,6,153,25.5,
7/20/2013,6,162,27,
7/21/2013,3,81,27,
7/22/2013,6,114,19,
7/23/2013,6,105,17.5,
7/24/2013,6,125,20.83333333,
7/25/2013,3,64,21.33333333,
7/26/2013,6,97,16.16666667,
7/27/2013,6,172,28.66666667,
7/28/2013,3,63,21,
7/29/2013,6,52,8.666666667,
7/30/2013,6,32,5.333333333,
7/31/2013,6,33,5.5,
8/1/2013,5,98,19.6,
8/2/2013,6,100,16.66666667,
8/3/2013,6,122,20.33333333,
8/4/2013,3,68,22.66666667,
8/5/2013,6,75,12.5,
8/6/2013,6,57,9.5,
8/7/2013,6,88,14.66666667,
8/8/2013,3,19,6.333333333,
8/9/2013,6,73,12.16666667,
8/10/2013,6,145,24.16666667,
8/11/2013,3,84,28,
8/12/2013,6,116,19.33333333,
8/13/2013,6,76,12.66666667,
8/14/2013,6,64,10.66666667,
8/15/2013,5,26,5.2,
8/16/2013,6,71,11.83333333,
8/17/2013,6,294,49,
8/18/2013,3,71,23.66666667,
8/19/2013,6,116,19.33333333,
8/20/2013,6,104,17.33333333,
8/21/2013,6,18,3,
8/22/2013,3,25,8.333333333,
8/23/2013,6,54,9,
8/24/2013,6,102,17,
8/25/2013,3,24,8,
8/26/2013,6,31,5.166666667,
8/27/2013,6,23,3.833333333,
8/28/2013,6,12,2,
8/29/2013,3,23,7.666666667,
8/30/2013,6,18,3,
8/31/2013,6,155,25.83333333,
9/1/2013,3,63,21,
9/2/2013,6,108,18,
9/3/2013,6,4,0.6666666667,
9/4/2013,6,44,7.333333333,
9/5/2013,6,24,4,
9/6/2013,6,85,14.16666667,
9/7/2013,6,64,10.66666667,
9/8/2013,3,28,9.333333333,
9/9/2013,6,6,1,
9/10/2013,6,6,1,
9/11/2013,6,3,0.5,
9/12/2013,3,3,1,
9/13/2013,6,10,1.666666667,
9/14/2013,6,36,6,
9/15/2013,3,39,13,
9/16/2013,6,14,2.333333333,
9/17/2013,6,12,2,
9/18/2013,6,32,5.333333333,
9/19/2013,3,12,4,
9/20/2013,6,32,5.333333333,
9/21/2013,6,688,114.6666667,
9/22/2013,0,0,Closed,Break In at NRC
9/23/2013,6,6,1,
9/24/2013,6,12,2,
9/25/2013,6,6,1,
9/26/2013,3,2,0.6666666667,
9/27/2013,6,45,7.5,
9/28/2013,6,93,15.5,
9/29/2013,3,57,19,
9/30/2013,0,0,Closed,Staff Retreat
10/1/2013,6,35,5.833333333,
10/2/2013,6,17,2.833333333,
10/3/2013,3,24,8,
10/4/2013,6,26,4.333333333,
10/5/2013,6,45,7.5,
10/6/2013,3,71,23.66666667,
10/7/2013,6,47,7.833333333,
10/8/2013,6,37,6.166666667,
10/9/2013,6,43,7.166666667,
10/10/2013,3,87,29,
10/11/2013,6,69,11.5,
10/12/2013,6,57,9.5,
10/13/2013,3,31,10.33333333,
10/14/2013,6,46,7.666666667,
10/15/2013,6,18,3,
10/16/2013,6,56,9.333333333,
10/17/2013,3,20,6.666666667,
10/18/2013,6,58,9.666666667,
10/19/2013,6,88,14.66666667,
10/20/2013,3,32,10.66666667,
10/21/2013,6,18,3,
10/22/2013,6,39,6.5,
10/23/2013,6,24,4,
10/24/2013,3,70,23.33333333,
10/25/2013,6,82,13.66666667,
10/26/2013,6,34,5.666666667,
10/27/2013,3,22,7.333333333,
10/28/2013,6,80,13.33333333,
10/29/2013,6,9,1.5,
10/30/2013,6,32,5.333333333,
10/31/2013,2,27,13.5,
11/1/2013,6,57,9.5,
11/2/2013,6,98,16.33333333,
11/3/2013,3,51,17,
11/4/2013,6,33,5.5,
11/5/2013,6,69,11.5,
11/6/2013,6,49,8.166666667,
11/7/2013,3,94,31.33333333,
11/8/2013,6,235,39.16666667,
11/9/2013,6,114,19,
11/10/2013,3,61,20.33333333,
11/11/2013,6,134,22.33333333,
11/12/2013,6,70,11.66666667,
11/13/2013,6,42,7,
11/14/2013,3,20,6.666666667,
11/15/2013,6,155,25.83333333,
11/16/2013,6,229,38.16666667,
11/17/2013,6,34,5.666666667,
11/18/2013,2,0,0,
11/19/2013,6,47,7.833333333,
11/20/2013,6,59,9.833333333,
11/21/2013,3,163,54.33333333,
11/22/2013,6,192,32,
11/23/2013,6,163,27.16666667,
11/24/2013,3,54,18,
11/25/2013,6,99,16.5,
11/26/2013,6,123,20.5,
11/27/2013,6,81,13.5,
11/28/2013,0,0,Closed,Thanksgiving
11/29/2013,6,198,33,
11/30/2013,6,209,34.83333333,
12/1/2013,3,41,13.66666667,
12/2/2013,6,52,8.666666667,
12/3/2013,6,85,14.16666667,
12/4/2013,6,14,2.333333333,
12/5/2013,3,29,9.666666667,
12/6/2013,6,170,28.33333333,
12/7/2013,6,53,8.833333333,
12/8/2013,3,16,5.333333333,
12/9/2013,6,51,8.5,
12/10/2013,6,40,6.666666667,
12/11/2013,6,61,10.16666667,
12/12/2013,3,71,23.66666667,
12/13/2013,6,124,20.66666667,
12/14/2013,6,112,18.66666667,
12/15/2013,3,30,10,
12/16/2013,6,51,8.5,
12/17/2013,6,5,0.8333333333,
12/18/2013,6,43,7.166666667,
12/19/2013,3,14,4.666666667,
12/20/2013,6,21,3.5,
12/21/2013,6,55,9.166666667,
12/22/2013,3,53,17.66666667,
12/23/2013,6,105,17.5,
12/24/2013,0,0,Closed,Christmas Eve
12/25/2013,0,0,Closed,Christmas
12/26/2013,3,145,48.33333333,
12/27/2013,6,277,46.16666667,
12/28/2013,6,212,35.33333333,
