Date,Hours,Visitors,Visitors/Hr,Notes
12/19/2012,6,8,,
12/20/2012,6,50,,
12/21/2012,6,127,,
12/22/2012,3,143,,
12/23/2012,3,72,,
12/24/2012,0,0,,
12/25/2012,0,0,,
12/26/2012,6,123,,
12/27/2012,6,189,,
12/28/2012,6,153,,
12/29/2012,6,170,,
12/30/2012,3,114,,
12/31/2012,3,70,,
1/1/2013,0,0,,
1/2/2013,6,80,,
1/3/2013,2,44,,
1/4/2013,3,142,,
1/5/2013,6,113,,
1/6/2013,3,72,,
1/7/2013,3,10,,
1/8/2013,6,71,,
1/9/2013,0,0,,
1/10/2013,6,43,,
1/11/2013,6,48,,
1/12/2013,6,71,,
1/13/2013,3,37,,
1/14/2013,3,24,,
1/15/2013,6,39,,
1/16/2013,3,25,,
1/17/2013,6,73,,
1/18/2013,6,50,,
1/19/2013,6,172,,
1/20/2013,3,89,,
1/21/2013,3,101,,
1/22/2013,6,71,,
1/23/2013,6,40,,
1/24/2013,4.5,135,,
1/25/2013,6,30,,
1/26/2013,6,100,,
1/27/2013,3,75,,
1/28/2013,3,20,,
1/29/2013,6,16,,
1/30/2013,6,17,,
1/31/2013,0,0,,
2/1/2013,3,4,,
2/2/2013,6,155,,
2/3/2013,3,95,,
2/4/2013,3,17,,
2/5/2013,3.5,29,,
2/6/2013,6,18,,
2/7/2013,3,23,,
2/8/2013,6,18,,
2/9/2013,6,156,,
2/10/2013,3,79,,
2/11/2013,3,52,,
2/12/2013,6,9,,
2/13/2013,2,48,,
2/14/2013,3,42,,
2/15/2013,6,40,,
2/16/2013,6,142,,
2/17/2013,3,84,,
2/18/2013,3,55,,
2/19/2013,3,41,,
2/20/2013,3,48,,
2/21/2013,3,26,,
2/22/2013,6,97,,
2/23/2013,6,171,,
2/24/2013,3,73,,
2/25/2013,3,4,,
2/26/2013,3,20,,
2/27/2013,3,25,,
2/28/2013,6,92,,
3/1/2013,3,65,,
3/2/2013,6,155,,
3/3/2013,3,75,,
3/4/2013,3,10,,
3/5/2013,6,33,,
3/6/2013,6,117,,
3/7/2013,5.5,36,,
3/8/2013,6,89,,
3/9/2013,6,127,,
3/10/2013,3,47,,
3/11/2013,3,4,,
3/12/2013,3,53,,
3/13/2013,0,0,,
3/14/2013,5.5,55,,
3/15/2013,6,89,,
3/16/2013,6,123,,
3/17/2013,3,61,,
3/18/2013,3,39,,
3/19/2013,6,19,,
3/20/2013,6,57,,
3/21/2013,8.5,54,,
